employee_id,leave_type,no_of_leaves,monthly_limit,total_leaves_taken,remaining_leaves,over_utilized,unused_leaves
1252,Casual Leave,10,,0,10,0,0
1252,Sick Leave,8,,0,8,0,0
1252,Comp-Off,0,,0,0,0,0
1252,Unpaid Leaves,0,,0,0,0,0
1252,Eid-ul-Fitr (Optional),1,,0,1,0,0
1252,Eid-Ul-Zuha (Optional),1,,0,1,0,0
1252,Rakha Bandhan (Optional),1,,0,1,0,0
1252,Half Day (Comp-Off),0,,0,0,0,0
1405,Casual Leave,10,,5,5,0,0
1405,Sick Leave,8,,1,7,0,0
1405,Comp-Off,0,,0,0,0,0
1405,Unpaid Leaves,0,,1,0,0,-1
1405,Eid-ul-Fitr (Optional),1,,1,0,0,0
1405,Eid-Ul-Zuha (Optional),1,,1,0,0,0
1405,Rakha Bandhan (Optional),1,,1,0,0,0
1405,Half Day (Comp-Off),0,,0,0,0,0
1519,Casual Leave,10,,2,8,0,0
1519,Sick Leave,8,,0,8,0,0
1519,Comp-Off,0,,0,0,0,0
1519,Unpaid Leaves,0,,0,0,0,0
1519,Eid-ul-Fitr (Optional),1,,0,1,0,0
1519,Eid-Ul-Zuha (Optional),1,,0,1,0,0
1519,Rakha Bandhan (Optional),1,,0,1,0,0
1519,Half Day (Comp-Off),0,,0,0,0,0
1568,Casual Leave,10,,2.5,7.5,0,0
1568,Sick Leave,8,,0,8,0,0
1568,Comp-Off,9,,2,7,0,0
1568,Unpaid Leaves,0,,0,0,1,1
1568,Eid-ul-Fitr (Optional),1,,1,0,0,0
1568,Eid-Ul-Zuha (Optional),1,,1,0,0,0
1568,Rakha Bandhan (Optional),1,,0,1,0,0
1568,Half Day (Comp-Off),0,,0,0,0,0
1569,Casual Leave,10,,4.5,5.5,0,0
1569,Sick Leave,8,,6,2,0,0
1569,Comp-Off,3,,3,0,0,0
1569,Unpaid Leaves,0,,0,0,0,0
1569,Eid-ul-Fitr (Optional),1,,1,0,0,0
1569,Eid-Ul-Zuha (Optional),1,,1,0,0,0
1569,Rakha Bandhan (Optional),1,,1,0,0,0
1569,Half Day (Comp-Off),0,,0,0,0,0
1573,Casual Leave,10,,10,0,0,0
1573,Sick Leave,8,,5,3,0,0
1573,Comp-Off,6,,3,3,0,0
1573,Unpaid Leaves,0,,1,0,0,-1
1573,Eid-ul-Fitr (Optional),1,,1,0,0,0
1573,Eid-Ul-Zuha (Optional),1,,1,0,0,0
1573,Rakha Bandhan (Optional),1,,0,1,0,0
1573,Half Day (Comp-Off),0,,0,0,0,0
1575,Casual Leave,10,,3,7,0,0
1575,Sick Leave,8,,5,3,0,0
1575,Comp-Off,0,,0,0,0,0
1575,Unpaid Leaves,0,,1,0,0,-1
1575,Eid-ul-Fitr (Optional),1,,0,1,0,0
1575,Eid-Ul-Zuha (Optional),1,,0,1,0,0
1575,Rakha Bandhan (Optional),1,,1,0,0,0
1575,Half Day (Comp-Off),0,,0,0,0,0
1602,Casual Leave,10,,0,10,0,0
1602,Sick Leave,8,,0,8,0,0
1602,Comp-Off,0,,0,0,0,0
1602,Unpaid Leaves,0,,0,0,0,0
1602,Eid-ul-Fitr (Optional),1,,0,1,0,0
1602,Eid-Ul-Zuha (Optional),1,,0,1,0,0
1602,Rakha Bandhan (Optional),1,,0,1,0,0
1602,Half Day (Comp-Off),0,,0,0,0,0
1603,Casual Leave,10,,0,10,0,0
1603,Sick Leave,8,,0,8,0,0
1603,Comp-Off,0,,0,0,0,0
1603,Unpaid Leaves,0,,0,0,0,0
1603,Eid-ul-Fitr (Optional),1,,0,1,0,0
1603,Eid-Ul-Zuha (Optional),1,,0,1,0,0
1603,Rakha Bandhan (Optional),1,,0,1,0,0
1603,Half Day (Comp-Off),0,,0,0,0,0
1679,Casual Leave,10,,2,8,0,0
1679,Sick Leave,8,,4.5,3.5,0,0
1679,Comp-Off,0,,0,0,0,0
1679,Unpaid Leaves,0,,3,0,0,-3
1679,Eid-ul-Fitr (Optional),1,,1,0,0,0
1679,Eid-Ul-Zuha (Optional),1,,1,0,0,0
1679,Rakha Bandhan (Optional),1,,1,0,0,0
1679,Half Day (Comp-Off),0,,0,0,0,0
1689,Casual Leave,10,,8.5,1.5,0,0
1689,Sick Leave,8,,1,7,0,0
1689,Comp-Off,1,,1,0,0,0
1689,Unpaid Leaves,0,,0,0,0,0
1689,Eid-ul-Fitr (Optional),1,,1,0,0,0
1689,Eid-Ul-Zuha (Optional),1,,1,0,0,0
1689,Rakha Bandhan (Optional),1,,1,0,0,0
1689,Half Day (Comp-Off),0,,0,0,0,0
1701,Casual Leave,10,,3,7,0,0
1701,Sick Leave,8,,2,6,0,0
1701,Comp-Off,0,,0,0,0,0
1701,Unpaid Leaves,0,,0,0,14,14
1701,Eid-ul-Fitr (Optional),1,,1,0,0,0
1701,Eid-Ul-Zuha (Optional),1,,0,1,0,0
1701,Rakha Bandhan (Optional),1,,0,1,0,0
1701,Half Day (Comp-Off),0,,0,0,0,0
1718,Casual Leave,10,,2,8,0,0
1718,Sick Leave,8,,1,7,0,0
1718,Comp-Off,0,,0,0,0,0
1718,Unpaid Leaves,0,,0,0,0,0
1718,Eid-ul-Fitr (Optional),1,,1,0,0,0
1718,Eid-Ul-Zuha (Optional),1,,1,0,0,0
1718,Rakha Bandhan (Optional),1,,0,1,0,0
1718,Half Day (Comp-Off),0,,0,0,0,0
1798,Casual Leave,7,,6,1,0,0
1798,Sick Leave,6.5,,0,6.5,0,0
1798,Comp-Off,0,,0,0,0,0
1798,Unpaid Leaves,0,,5,0,1.5,-3.5
1798,Eid-ul-Fitr (Optional),1,,0,1,0,0
1798,Eid-Ul-Zuha (Optional),1,,0,1,0,0
1798,Rakha Bandhan (Optional),1,,1,0,0,0
1798,Half Day (Comp-Off),0,,0,0,0,0
1842,Casual Leave,8,,3,5,0,0
1842,Sick Leave,7,,1,6,0,0
1842,Comp-Off,3,,1,2,0,0
1842,Unpaid Leaves,0,,2,0,0,-2
1842,Eid-ul-Fitr (Optional),1,,0,1,0,0
1842,Eid-Ul-Zuha (Optional),1,,0,1,0,0
1842,Rakha Bandhan (Optional),1,,1,0,0,0
1842,Half Day (Comp-Off),0,,0,0,0,0
2048,Casual Leave,10,,0,10,0,0
2048,Sick Leave,8,,0,8,0,0
2048,Comp-Off,0,,0,0,0,0
2048,Unpaid Leaves,0,,0,0,0,0
2048,Eid-ul-Fitr (Optional),1,,0,1,0,0
2048,Eid-Ul-Zuha (Optional),1,,0,1,0,0
2048,Rakha Bandhan (Optional),1,,0,1,0,0
2048,Half Day (Comp-Off),0,,0,0,0,0
2132,Casual Leave,10,,3,7,0,0
2132,Sick Leave,8,,6.5,1.5,0,0
2132,Comp-Off,0,,0,0,0,0
2132,Unpaid Leaves,0,,0,0,0,0
2132,Eid-ul-Fitr (Optional),1,,0,1,0,0
2132,Eid-Ul-Zuha (Optional),1,,0,1,0,0
2132,Rakha Bandhan (Optional),1,,0,1,0,0
2132,Half Day (Comp-Off),0,,0,0,0,0
2133,Casual Leave,10,,8,2,0,0
2133,Sick Leave,8,,3,5,0,0
2133,Comp-Off,0,,0,0,0,0
2133,Unpaid Leaves,0,,0,0,4,4
2133,Eid-ul-Fitr (Optional),1,,0,1,0,0
2133,Eid-Ul-Zuha (Optional),1,,1,0,0,0
2133,Rakha Bandhan (Optional),1,,1,0,0,0
2133,Half Day (Comp-Off),0,,0,0,0,0
2155,Casual Leave,10,,1,9,0,0
2155,Sick Leave,8,,0,8,0,0
2155,Comp-Off,0,,0,0,0,0
2155,Unpaid Leaves,0,,0,0,0,0
2155,Eid-ul-Fitr (Optional),1,,0,1,0,0
2155,Eid-Ul-Zuha (Optional),1,,0,1,0,0
2155,Rakha Bandhan (Optional),1,,1,0,0,0
2155,Half Day (Comp-Off),0,,0,0,0,0
2454,Casual Leave,7,,6,1,0,0
2454,Sick Leave,6.5,,6,0.5,0,0
2454,Comp-Off,0,,0,0,0,0
2454,Unpaid Leaves,0,,6.5,0,0,-6.5
2454,Eid-ul-Fitr (Optional),1,,1,0,0,0
2454,Eid-Ul-Zuha (Optional),1,,1,0,0,0
2454,Rakha Bandhan (Optional),1,,0,1,0,0
2454,Half Day (Comp-Off),0,,0,0,0,0
2868,Casual Leave,5,,2,3,0,0
2868,Sick Leave,4,,4,0,0,0
2868,Comp-Off,3,,2,1,0,0
2868,Unpaid Leaves,0,,3,0,0,-3
2868,Eid-ul-Fitr (Optional),1,,1,0,0,0
2868,Eid-Ul-Zuha (Optional),1,,1,0,0,0
2868,Rakha Bandhan (Optional),1,,1,0,0,0
2868,Half Day (Comp-Off),0,,0,0,0,0
2950,Casual Leave,5,,0,5,0,0
2950,Sick Leave,4,,1,3,0,0
2950,Comp-Off,0,,0,0,0,0
2950,Unpaid Leaves,0,,5,0,0,-5
2950,Eid-ul-Fitr (Optional),1,,1,0,0,0
2950,Eid-Ul-Zuha (Optional),1,,1,0,0,0
2950,Rakha Bandhan (Optional),1,,1,0,0,0
2950,Half Day (Comp-Off),0,,0,0,0,0
2980,Casual Leave,5,,1,4,0,0
2980,Sick Leave,4,,4,0,0,0
2980,Comp-Off,10,,6,4,0,0
2980,Unpaid Leaves,0,,1,0,0,-1
2980,Eid-ul-Fitr (Optional),1,,1,0,0,0
2980,Eid-Ul-Zuha (Optional),1,,1,0,0,0
2980,Rakha Bandhan (Optional),1,,1,0,0,0
2980,Half Day (Comp-Off),0,,0,0,0,0
3031,Casual Leave,5,,3,2,0,0
3031,Sick Leave,4,,3,1,0,0
3031,Comp-Off,0,,0,0,0,0
3031,Unpaid Leaves,0,,8,0,0,-8
3031,Eid-ul-Fitr (Optional),1,,0,1,0,0
3031,Eid-Ul-Zuha (Optional),1,,1,0,0,0
3031,Rakha Bandhan (Optional),1,,1,0,0,0
3031,Half Day (Comp-Off),0,,0,0,0,0
3140,Comp-Off,0,,0,0,0,0
3140,Unpaid Leaves,0,,18,0,0,-18
3140,Eid-ul-Fitr (Optional),0.5,,1,0,0.5,0
3140,Eid-Ul-Zuha (Optional),0.5,,0,0.5,0,0
3140,Rakha Bandhan (Optional),0.5,,0,0.5,0,0
3140,Half Day (Comp-Off),0,,0,0,0,0
3141,Casual Leave,9.5,,0,9.5,0,0
